ids,pred_status
25,0
140,0
319,0
329,0
361,0
396,0
594,0
611,0
613,0
628,0
665,0
686,0
713,0
728,0
793,0
816,0
824,0
875,0
877,0
908,0
1037,0
1047,0
1137,0
1175,0
1329,0
1331,0
1464,0
1489,0
1582,0
1588,0
1697,0
1844,0
1845,0
2078,0
2185,0
2440,0
2498,0
2525,0
2655,0
2733,0
2827,0
2881,0
2903,0
2907,0
2908,0
2950,0
2997,0
3001,0
3023,0
3046,0
3050,1
3140,0
3215,0
3487,0
3496,0
3524,0
4138,0
4297,0
4316,0
5009,0
5148,0
5308,0
5475,0
5670,0
5835,0
5845,0
5871,0
6080,0
6118,0
6210,0
6247,0
6290,0
6318,0
6415,0
6516,0
6670,0
6751,0
6857,0
6918,0
6936,0
7071,0
7214,0
7320,0
7449,0
7462,0
7477,0
7726,0
7754,0
7870,0
7888,0
7897,0
8000,0
8041,0
8052,0
8096,0
8250,0
8365,0
8408,0
8425,0
8517,0
8593,0
8733,0
10020,0
10046,0
10091,0
10231,0
10385,0
10416,0
10536,0
10590,0
10603,0
10608,0
10791,0
10865,0
10929,0
10985,0
11085,0
11173,0
11310,0
11643,0
13035,0
13037,0
13041,0
13140,0
13175,0
13348,0
13452,0
13478,0
13498,0
13623,0
13642,0
13704,0
13941,0
13980,0
13985,0
14023,0
14143,0
14155,0
14268,0
14377,0
14455,0
14553,0
14559,0
14829,0
14983,0
15277,0
15356,0
15407,0
16009,0
16079,0
16197,0
16204,0
16360,0
16590,0
16668,0
16678,0
16686,0
16691,0
16783,0
16798,0
16835,0
16860,0
16976,0
16986,0
17007,0
17058,0
17079,0
17129,0
17140,0
17358,0
17463,0
17858,0
17868,0
17935,0
18005,0
18126,0
18178,0
18217,0
18266,0
18313,0
18387,0
18637,0
18826,0
19396,0
19475,0
19537,0
19596,0
19789,0
19935,0
20472,0
20787,0
20989,0
21335,0
21572,0
21624,0
22090,0
22333,0
22449,0
22471,0
22875,0
22998,0
23551,0
23651,0
23696,0
23714,0
23928,0
23940,0
24142,0
24549,0
24723,0
24795,0
24913,0
25299,0
25388,0
25440,0
25536,0
25545,0
25586,0
25853,0
25896,0
26104,0
26193,0
26314,0
26455,0
26460,0
26586,1
26678,0
27098,0
27108,0
27240,0
27346,0
27393,0
27823,0
28352,0
28583,0
28615,0
29102,0
29163,0
29264,0
29280,0
29302,0
29357,0
29433,0
29449,0
29474,0
29722,0
29753,0
29775,0
29807,0
29931,0
30177,0
30339,0
30624,0
30679,0
30933,0
31256,0
31346,0
32238,0
32338,0
33062,0
33065,0
34227,0
34786,0
34889,0
34939,0
35307,0
35331,0
36026,0
36105,0
36155,0
36451,0
36644,0
37216,0
37503,0
37505,0
37550,0
37711,0
38474,0
38537,0
38619,0
38747,0
38995,0
39057,0
39062,0
39164,0
39283,0
39285,0
39437,0
39462,0
39805,0
39985,0
39991,0
40130,0
40258,0
40259,0
40302,0
40659,0
40701,0
40794,0
41353,0
41409,0
41438,0
41534,1
41554,0
41835,0
42043,0
42179,0
42186,0
42578,0
42629,0
42762,0
43011,0
43035,0
43098,0
43242,0
43272,0
43276,0
43520,0
43753,0
43793,0
43870,0
44254,0
44357,0
44379,0
44960,0
44970,0
45287,0
45348,0
45452,0
45641,0
45961,0
46035,0
46206,0
46213,0
46680,0
46838,0
46897,0
47090,0
47439,0
47502,0
47511,0
47548,0
47723,0
47798,0
47815,0
100100,0
102800,0
103580,0
103727,0
103846,0
103863,0
104020,0
104030,0
104068,0
104214,0
104343,0
104511,0
104512,0
104516,0
104517,0
104518,0
104527,0
104529,1
104531,0
104532,0
104535,0
104536,0
104537,0
104539,0
104540,0
104543,0
104548,0
104549,0
104550,0
104555,0
104557,0
104558,0
104559,0
104561,0
104566,0
104567,0
104568,0
104571,0
104576,0
104579,0
104580,0
104581,0
104588,0
104595,0
104596,0
104599,0
104600,0
104601,0
104604,0
104610,1
104614,0
104621,0
104622,0
104623,0
104626,0
104627,0
104633,0
104636,0
104640,0
104641,0
104645,0
104650,0
104652,0
104661,0
104662,0
104664,1
104670,0
104671,0
104674,0
104677,0
104681,0
104684,0
104685,0
104689,0
104693,0
104694,0
104695,0
104701,0
104702,0
104705,0
104706,0
104707,0
104709,0
104711,1
104714,0
104715,0
104716,0
104720,0
104724,0
104729,0
104730,0
104732,0
104734,0
104735,0
104738,0
104740,0
104745,0
104748,0
104749,0
104750,0
104751,0
104753,0
104759,0
104764,0
104766,0
104767,0
104771,0
104776,0
104780,0
104781,0
104784,0
104788,0
104793,0
104796,0
104797,0
104798,0
104800,0
104804,0
104808,0
104811,0
104814,0
104832,0
104834,0
104835,0
104837,0
104838,1
104841,0
104842,0
104844,0
104849,0
104853,0
104855,0
104859,0
104861,0
104862,0
104863,0
104864,0
104866,0
104868,0
104870,0
104873,0
104875,0
104876,0
104880,0
104885,0
104889,0
104890,0
104913,1
104914,0
104919,0
104921,0
104922,0
104923,0
104925,0
104926,0
104927,0
104928,0
104931,0
104934,0
104935,0
104936,0
104941,0
104942,0
104945,0
104947,0
104948,0
104949,0
104950,0
104955,0
104961,0
104963,0
104964,1
104969,0
